timestamp,rating,discount,reviews,decision
2026-04-03 16:45:47,3.2,28.16,7889,Buy
2026-04-03 16:45:47,4.4,48.74,2423,Buy
2026-04-03 16:45:47,1.5,23.71,172,Not Buy
2026-04-03 16:45:47,4.3,2.73,2381,Buy
2026-04-03 16:45:47,4.9,47.17,5167,Buy
2026-04-03 16:45:47,4.3,22.41,3118,Buy
2026-04-03 16:45:47,3.7,2.22,3261,Buy
2026-04-03 16:45:47,4.7,8.49,4821,Buy
2026-04-03 16:45:47,2.5,57.02,7842,Not Buy
2026-04-03 16:45:47,1.1,78.41,3794,Not Buy
2026-04-03 16:45:47,4.8,73.53,4991,Not Buy
2026-04-03 16:45:47,4.4,72.52,4539,Not Buy
2026-04-03 16:45:47,2.7,21.1,3683,Buy
2026-04-03 16:45:47,4.8,28.95,6003,Buy
2026-04-03 16:45:47,3.6,53.87,3210,Not Buy
2026-04-03 16:45:47,4.2,21.85,4148,Buy
2026-04-03 16:45:47,2.1,4.02,1290,Not Buy
2026-04-03 16:45:47,4.8,27.95,7268,Buy
2026-04-03 16:45:47,4.1,31.93,4867,Buy
2026-04-03 16:45:47,3.0,24.37,5649,Buy
2026-04-03 16:45:47,3.7,39.98,5254,Buy
2026-04-03 16:45:47,2.8,7.08,3215,Not Buy
2026-04-03 16:45:47,4.3,15.06,3548,Buy
2026-04-03 16:45:47,4.4,9.54,7988,Buy
2026-04-03 16:45:47,3.4,35.23,7047,Buy
2026-04-03 16:45:47,2.7,30.19,5018,Buy
2026-04-03 16:45:47,4.3,75.97,3901,Not Buy
2026-04-03 16:45:47,2.8,32.36,3855,Buy
2026-04-03 16:45:47,3.8,61.84,7054,Not Buy
2026-04-03 16:45:47,4.0,64.99,8246,Not Buy
2026-04-03 16:45:47,3.2,34.63,818,Buy
2026-04-03 16:45:47,2.6,47.44,7954,Buy
2026-04-03 16:45:47,1.5,37.48,3498,Not Buy
2026-04-03 16:45:47,3.6,1.07,8704,Not Buy
2026-04-03 16:45:47,1.4,74.24,5204,Not Buy
2026-04-03 16:45:47,2.0,70.11,8329,Not Buy
2026-04-03 16:45:47,2.2,66.63,4311,Not Buy
2026-04-03 16:45:47,4.1,21.75,3922,Buy
2026-04-03 16:45:47,3.4,77.22,939,Not Buy
2026-04-03 16:45:47,4.5,38.93,6159,Buy
2026-04-03 16:45:47,3.7,29.01,486,Buy
2026-04-03 16:45:47,2.5,74.98,3307,Not Buy
2026-04-03 16:45:47,4.1,3.9,4286,Buy
2026-04-03 16:45:47,2.0,25.71,1782,Not Buy
2026-04-03 16:45:47,3.9,16.02,8535,Buy
2026-04-03 16:45:47,3.6,13.92,6759,Buy
2026-04-03 16:45:47,2.6,19.07,9871,Buy
2026-04-03 16:45:47,3.5,72.38,9489,Not Buy
2026-04-03 16:45:47,3.3,18.23,5034,Buy
2026-04-03 16:45:47,4.0,22.5,4699,Buy
2026-04-03 16:45:47,2.9,19.08,5970,Buy
2026-04-03 16:51:15,4.2,29.41,0,Buy
2026-04-03 16:52:36,4.2,29.41,0,Buy
2026-04-06 15:15:16,4.1,50.13,0,Buy
2026-04-06 15:16:23,4.1,50.13,0,Buy
2026-04-06 15:17:28,4.3,63.16,0,Not Buy
2026-05-11 12:18:47,4.7,63.38,0,Not Buy
2026-05-11 12:21:17,4.0,63.38,0,Not Buy
2026-05-11 12:33:04,4.7,63.38,0,Risky
2026-05-11 12:35:14,4.3,61.76,0,Risky
2026-05-11 12:43:58,4.7,0.0,0,Moderate
2026-05-11 12:45:21,4.6,0.0,0,Moderate
2026-05-11 12:50:18,4.3,25.72,0,Safe
2026-05-11 12:53:48,4.3,43.71,0,Safe
2026-05-11 12:57:20,4.3,20.2,0,Safe
2026-05-11 13:00:35,4.4,70.07,0,Risky
2026-05-11 13:03:34,4.4,23.08,0,Safe
2026-05-11 15:39:09,4.3,58.01,0,Moderate
2026-05-11 15:41:12,4.3,0.0,0,Moderate
2026-05-11 15:42:20,4.4,0.0,0,Moderate
